,cv,type,ru,,
,Лихтенштейн ,proper masculine,Лихтенштейн,,
,кукаҫи ,noun masculine,дедушка,,
,епархи ,noun feminine,епархия,,
,епархи ,noun,епархия,,
,шĕке пулă ,noun,стерлядь,,
,Махачкала ,noun feminine,Махачкала,,
,Ял ,nonetype,Деревня,,
,Ял ,noun verb neuter,село,,
,Ял ,noun masculine,аул,,
,Ял ,noun neuter,село,,
,Ял ,noun feminine,деревня,,
,Ял ,adjective,деревенский,,
,Ял ,adjective,сельский,,
,ватт ,noun masculine,ватт,,
,Пурçăн çул ,nonetype,Великий Шёлковый Путь,,
,алă ,noun feminine,рука,,
,алă ,adjective,ручной,,
,алă ,noun feminine,ладонь,,
,алă ,noun masculine,почерк,,
,алă ,nonetype,верхняя конечность,,
,Узбекистан патшалăхĕн гимнĕ ,nonetype,Гимн Узбекистана,,
,атăл ,noun,волга,,
,атăл ,noun feminine,Волга,,
,панулми ,noun neuter,яблоко,,
,панулми ,noun neuter,яблоко,,
,сицили ,nonetype,сицилия,,
,марсель ,noun,марсель,,
,марсель ,proper masculine,Марсель,,
,тĕртме ,verb impf,пихать,,
,тĕртме ,verb impf,толкать,,
,уçă сасăсем ,noun,гласные,,
,уçă сасăсем ,noun,гласные,,
,крит ,nonetype,крит,,
,крит ,proper masculine,Крит,,
,Акăлчансемпе Занзибар хушшинчи вăрçă ,nonetype,Англо-занзибарская война,,
,литва ,nonetype,литва,,
,литва ,proper feminine,Литва,,
,Лев Троцкий ,nonetype,Лев Давидович Троцкий,,
,Асам ,nonetype,Асом,,
,Асам ,noun,магия,,
,австри ,nonetype,австрия,,
,австри ,noun feminine,Австрия,,
,Раççей ,noun feminine,Россия,,
,атлантика океанĕ ,nonetype,атлантический океан,,
,атлантика океанĕ ,proper masculine,Атлантический океан,,
,Стокгольм ,proper masculine,Стокгольм,,
,Стокгольм ,nonetype,стокгольм,,
,Кулибин Иван Петрович ,nonetype,Иван Петрович Кулибин,,
,каҫ ,noun masculine,вечер,,
,тантал ,noun masculine,тантал,,
,тантал ,noun,тантал,,
,миссури ,nonetype,миссури,,
,миссури ,proper masculine,Миссури,,
,кушак ути ,nonetype,валериана лекарственная,,
,Серби ,proper feminine,Сербия,,
,Серби ,nonetype,сербия,,
,Кун ,nonetype,День,,
,Кун ,noun,сутки,,
,Кун ,noun masculine,день,,
,Кун ,noun,дневной,,
,Кун ,noun p,сутки,,
,йĕтес шăмми ,noun feminine,ключица,,
,йĕтес шăмми ,noun,ключица,,
,Википеди ,proper feminine,Википедия,,
,Тунтикун ,nonetype,Понедельник,,
,Тунтикун ,noun masculine,понедельник,,
,сула ,noun feminine,селезёнка,,
,сула ,noun,селезёнка,,
,хăйăр ,noun masculine,песок,,
,хăйăр ,nonetype,Песок,,
,Кăнтăр Америка ,proper feminine,Южная Америка,,
,Кăнтăр Америка ,nonetype,южная америка,,
,Роберто Бартини ,nonetype,Роберт Людвигович Бартини,,
,домен ,noun masculine,домен,,
,мавритани ,nonetype,мавритания,,
,аш арманĕ ,noun feminine,мясорубка,,
,аш арманĕ ,nonetype,Мясорубка,,
,II-мĕш Кир ,nonetype,Кир II Великий,,
,сăмахсар ,noun masculine,словарь,,
,сăмахсар ,noun masculine,словарь,,
,тӳпе ,noun neuter,небо,,
,хир мулкачĕ ,nonetype,заяц-русак,,
,австрали ,nonetype,австралия,,
,австрали ,proper, noun feminine,Австралия,,
,порт луи ,nonetype,порт-луи,,
,сидр ,noun masculine,сидр,,
,сидр ,noun masculine,сидр,,
,упа йышшисем ,nonetype,медвежьи,,
,органикăллă мар хими ,noun feminine,неорганическая химия,,
,органикăллă мар хими ,nonetype,неорганическая химия,,
,мозамбик ,nonetype,мозамбик,,
,мозамбик ,proper masculine,Мозамбик,,
,Пӳре ,nonetype,Почка,,
,Пӳре ,noun,почка,,
,Пӳре ,noun feminine,почка,,
,Аялти Турă ,nonetype,Нижняя Тура,,
,Иванов Валентин Валентинович ,nonetype,Валентин Валентинович Иванов,,
,Дияла ,nonetype,Дияла,,
,радио ,noun neuter,радио,,
,радио ,noun neuter,радио,,
,кĕвĕçĕ ,noun masculine,композитор,,
,кĕвĕçĕ ,nonetype,Композитор,,
,кĕвĕçĕ ,noun masculine,композитор,,
,исланди ,nonetype,исландия,,
,исланди ,noun feminine,Исландия,,
,Раççей халăхĕсен чĕлхисем ,nonetype,Список языков России,,
,Геометри ,nonetype,Геометрия,,
,Геометри ,noun,геометрия,,
,Геометри ,noun feminine,геометрия,,
,ислам республики иран ,nonetype,иран,,
,çурçĕр ирланди ,nonetype,северная ирландия,,
,кашкӑр ,noun masculine,волк,,
,кашкӑр ,noun feminine,волчица,,
,сингапур ,nonetype,сингапур,,
,сингапур ,noun masculine,Сингапур,,
,у ,pronoun,он,,
,Тури Савойя ,nonetype,Верхняя Савойя,,
,Шупашкар ГЭСĕ ,nonetype,Чебоксарская ГЭС,,
,Хунсем ,nonetype,Гунны,,
,Польша президенчĕсен списокĕ ,nonetype,Список президентов Польши,,
,хир сысни ,noun masculine,кабан,,
,сывлама ,verb impf,дышать,,
,валлетта ,nonetype,валлетта,,
,миссисипи ,nonetype,миссисипи,,
,миссисипи ,noun masculine,Миссисипи,,
,Ковылкино ,nonetype,Ковылкино,,
,антанта ,nonetype,антанта,,
,Тухăç-Европа тӳремĕ ,nonetype,Восточно-Европейская равнина,,
,чупакан ,noun masculine,бегун,,
,Чăваш Енĕн Муркаш районĕ ,nonetype,Моргаушский район Чувашии,,
,тунис ,nonetype,тунис,,
,тунис ,proper masculine,Тунис,,
,Бичурин Никита Яковлевич ,nonetype,Иакинф,,
,эльзас ,nonetype,эльзас,,
,тĕп хула ,noun feminine,столица,,
,тĕп хула ,noun,столица,,
,Тĕнче Фонетикăллă Алфавичĕ ,proper masculine,международный фонетический алфавит,,
,омограф ,noun,омографы,,
,омограф ,noun,омографы,,
,Якутсем ,nonetype,Якуты,,
,венера ,noun,венера,,
,венера ,proper feminine,Венера,,
,Марна ,proper,Марна,,
,револьвер ,noun masculine,револьвер,,
,револьвер ,noun masculine,револьвер,,
,ази ,nonetype,азия,,
,ази ,proper feminine,Азия,,
,кайǎк ,noun neuter,животное,,
,кайǎк ,noun masculine,зверь,,
,Молдави ялавě ,nonetype,Флаг Молдавии,,
,ниоби ,noun masculine,ниобий,,
,ниоби ,noun masculine,ниобий,,
,Раççей Федерацийĕн Сывлăш Çар Вăйĕсем ,nonetype,Военно-воздушные силы Российской Федерации,,
,Кĕвĕçĕ ,nonetype,Композитор,,
,Кĕвĕçĕ ,noun masculine,композитор,,
,Кĕвĕçĕ ,noun masculine,композитор,,
,тестостерон ,noun masculine,тестостерон,,
,тестостерон ,noun,тестостерон,,
,Çурçĕр Каролина ,proper feminine,Северная Каролина,,
,таджик чĕлхи ,nonetype,таджикский язык,,
,Ветлуга ,nonetype,Ветлуга,,
,шумер чĕлхи ,noun,шумерский язык,,
,тунти кун ,noun masculine,понедельник,,
,Лейте пырĕнчи тинĕс çапăçăвĕ ,nonetype,Сражение в заливе Лейте,,
,Чехов Антон Павлович ,nonetype,Антон Павлович Чехов,,
,асамат кĕперĕ ,noun feminine,радуга,,
,асамат кĕперĕ ,noun feminine,радуга,,
,тилĕрӳ ,noun neuter,бешенство,,
,тилĕрӳ ,nonetype,Бешенство,,
,хура тинĕс ,nonetype,чёрное море,,
,хура тинĕс ,proper neuter,Чёрное море,,
,хура тинĕс ,nonetype,Черное море,,
,монако ,nonetype,монако,,
,монако ,proper neuter,Монако,,
,лютеци ,noun masculine,лютеций,,
,лютеци ,noun masculine,лютеций,,
,Куликово патĕнчи çапăçу ,nonetype,Куликовская битва,,
,Сыктывкар ,proper masculine,Сыктывкар,,
,пекин ,nonetype,пекин,,
,пекин ,noun masculine,Пекин,,
,пекин ,masculine,Бэйцзин,,
,Мăн Çавал ,nonetype,Большой Цивиль,,
,белиз ,nonetype,белиз,,
,белиз ,proper masculine,Белиз,,
,авеста ,nonetype,авеста,,
,авеста ,adjective,авестийский,,
,бейсбол ,noun masculine,бейсбол,,
,бейсбол ,noun masculine,бейсбол,,
,архитектура палăкĕ ,nonetype,памятник архитектуры,,
,архитектура палăкĕ ,nonetype,памятник архитектуры,,
,Меланези ,proper feminine,Меланезия,,
,Меланези ,nonetype,меланезия,,
,менелник ,noun feminine,именины,,
,менелник ,noun,именины,,
,Тевтонсем ,nonetype,Тевтоны,,
,Хрущёв Никита Сергеевич ,nonetype,Никита Сергеевич Хрущёв,,
,Бельги патшалăхĕн гимнě ,nonetype,Гимн Бельгии,,
,сывлăм пăнчи ,nonetype,точка росы,,
,сывлăм пăнчи ,nonetype,Точка росы,,
,Инçет Тухăç ,proper masculine,Дальний Восток,,
,туркмени ,nonetype,туркмения,,
,тĕрлеме ,verb impf,шить,,
,Канада ,proper feminine,Канада,,
,Канада ,nonetype,канада,,
,Пĕрлешнĕ Нацисен Организацийĕ ,proper feminine,Организация Объединённых Наций,,
,Пĕрлешнĕ Нацисен Организацийĕ ,nonetype,организация объединённых наций,,
,пӳлӗм ,noun feminine,комната,,
,хорват чĕлхи ,nonetype,хорватский язык,,
,чукун ,noun masculine,чугун,,
,чукун ,noun masculine,чугун,,
,Рига вокзалĕ ,nonetype,Рижский вокзал,,
,Либери ,proper feminine,Либерия,,
,Либери ,nonetype,либерия,,
,сурьма ,noun feminine,сурьма,,
,прага ,nonetype,прага,,
,прага ,proper feminine,Прага,,
,молдави ,nonetype,молдавия,,
,молдави ,adjective,молдавский,,
,молдави ,proper feminine,Молдавия,,
,хулăн ,noun masculine,толстый,,
,хулăн ,adjective,дебелый,,
,çара çерçи евĕрлисем ,noun,рукокрылые,,
,Волжск ,nonetype,Волжск,,
,копенгаген ,nonetype,копенгаген,,
,копенгаген ,proper masculine,Копенгаген,,
,сăмах каçмăш ,noun masculine,кроссворд,,
,сăмах каçмăш ,nonetype,Кроссворд,,
,Фауст ,nonetype,Фауст,,
,çăмăр ,noun masculine,дождь,,
,Бургундсем ,nonetype,Бургунды,,
,Турци ялавĕ ,nonetype,Флаг Турции,,
,бадминтон ,noun masculine,бадминтон,,
,бадминтон ,noun,бадминтон,,
,Димитровград ,proper,Димитровград,,
,Копенгаген ,proper masculine,Копенгаген,,
,Копенгаген ,nonetype,копенгаген,,
,пӳске ,noun masculine,мяч,,
,пӳске ,noun masculine,мяч,,
,ахаль пăчăр ,noun,рябчик,,
,Кейӳ ,proper masculine,Киев,,
,Кейӳ ,nonetype,киев,,
,грузин чĕлхи ,masculine,грузинский язык,,
,тӗк ,noun neuter,перо,,
,Нимĕçсем ,nonetype,Немцы,,
,малай çурутравĕ ,nonetype,малакка,,
,кăнтăр африка республики ,nonetype,южно-африканская республика,,
,кăнтăр африка республики ,proper feminine,Южно-Африканская Республика,,
,Свердловск облаçĕ ,nonetype,Свердловская область,,
,Остготсем ,nonetype,Остготы,,
,хаçат ,noun feminine,газета,,
,хаçат ,adjective,газетный,,
,хаçат ,noun feminine,газета,,
,полони ,noun masculine,полоний,,
,полони ,noun,полоний,,
,чӗре ,noun neuter,сердце,,
,сывлӑш ,noun masculine,воздух,,
,сывлӑш ,noun neuter,поветрие,,
,хӳре ,noun masculine,хвост,,
,Саамсем ,nonetype,Саамы,,
,вӑрман ,noun masculine,лес,,
,Галикарнасри мавзолей ,nonetype,Мавзолей в Галикарнасе,,
,ириди ,noun masculine,иридий,,
,ириди ,noun,иридий,,
,корсика ,nonetype,корсика,,
,турин ,nonetype,турин,,
,турин ,proper masculine,Турин,,
,аслă карл ,nonetype,карл великий,,
,Гвардейск ,nonetype,Гвардейск,,
,ҫыру ,noun neuter,письмо,,
,ула курак ,noun feminine,ворона,,
,ула курак ,nonetype,серая ворона,,
,монголи ,nonetype,монголия,,
,монголи ,proper feminine,Монголия,,
,словак чĕлхи ,masculine,словацкий язык,,
,Пелепей ,nonetype,Белебей,,
,чǎн ,verb masculine,правильный,,
,кулма ,verb,смеяться,,
,Об ,nonetype,Об,,
,çавра ,noun masculine,круг,,
,çавра ,noun masculine,круг,,
,Андорра ,proper feminine,Андорра,,
,Андорра ,nonetype,андорра,,
,этнографи ,noun,этнография,,
,этнографи ,noun,этнография,,
,Анăç-Çĕпĕр тӳремĕ ,nonetype,Западно-Сибирская равнина,,
,лиссабон ,nonetype,лиссабон,,
,Тула облаçĕ ,proper feminine,Тульская область,,
,Ирланди ,proper feminine,Ирландия,,
,кӑйкӑр ,noun masculine,сокол,,
,космогони ,noun,космогония,,
,космогони ,nonetype,Космогония,,
,чǎмǎр ,adjective masculine,круглый,,
,София ,proper feminine,София,,
,Шаламов Варлам Тихонович ,nonetype,Варлам Тихонович Шаламов,,
,сад ,noun masculine,сад,,
,сад ,noun masculine,сад,,
,Англсем ,nonetype,Англы,,
,Англсем ,noun,англы,,
,Çичшу ,nonetype,Семиреченская область,,
,аден ,nonetype,аден,,
,аден ,proper masculine,Аден,,
,армагеддон ,nonetype,армагеддон,,
,армагеддон ,noun masculine,Армагеддон,,
,вăтаçĕр тинĕсĕ ,nonetype,средиземное море,,
,вăтаçĕр тинĕсĕ ,proper neuter,Средиземное море,,
,лантан ,noun masculine,лантан,,
,лантан ,noun,лантан,,
,ăмăрту ,noun masculine,конкурс,,
,ăмăрту ,noun neuter,соревнование,,
,Невельский Геннадий Иванович ,nonetype,Геннадий Иванович Невельской,,
,альт ,noun masculine,альт,,
,альт ,noun masculine,альт,,
,ăптă ,noun masculine,язь,,
,ӳпке ,noun,лёгкие,,
,ӳпке ,noun,лёгкие,,
,тăхлан ,noun neuter,олово,,
,тăхлан ,noun masculine,станнум,,
,тăхлан ,noun neuter,олово,,
,Чăваш Енĕн Етĕрне районĕ ,nonetype,Ядринский район Чувашии,,
,граждан вăрçи ,noun feminine,гражданская война,,
,граждан вăрçи ,noun,гражданская война,,
,диалектологи ,noun feminine,диалектология,,
,диалектологи ,nonetype,Диалектология,,
,диалектологи ,nonetype,диалектология,,
,Мао Цзедун ,noun masculine,Мао Цзэдун,,
,Мао Цзедун ,nonetype,мао цзэдун,,
,мурманск ,nonetype,мурманск,,
,мурманск ,noun masculine,Мурманск,,
,такǎнма ,verb impf,падать,,
,кăвакарчăн куçĕ ,noun feminine,незабудка,,
,Алье ,nonetype,Алье,,
,Татищев Василий Никитич ,nonetype,Василий Никитич Татищев,,
,астрономи ,noun feminine,астрономия,,
,астрономи ,noun,астрономия,,
,Эн ,nonetype,Эн,,
,гавайи ,nonetype,гавайи,,
,гавайи ,proper p,Гавайи,,
,Нефтекамск ,nonetype,Нефтекамск,,
,ĕçле ,verb impf,работать,,
,ĕçле ,verb impf,трудиться,,
,ĕçле ,verb impf,делать,,
,Вырăссем ,nonetype,Русские,,
,ром ,noun masculine,ром,,
,ром ,noun masculine,ром,,
,балкан çурутравĕ ,nonetype,балканский полуостров,,
,балкан çурутравĕ ,proper masculine,Балканский полуостров,,
,балкан çурутравĕ ,nonetype,Балканский п-ов,,
,Атăлçи сăртлăхĕ ,nonetype,Приволжская возвышенность,,
,Преголя ,nonetype,Преголя,,
,аляска ,nonetype,аляска,,
,аляска ,proper feminine,Аляска,,
,антонимсем ,noun,антонимы,,
,пуш ,proper, noun masculine,март,,
,пуш ,nonetype,mарт,,
,пуш ,nonetype,Март,,
,пуш ,proper masculine,март,,
,Высоцкий Владимир Сергеевич ,nonetype,Владимир Сергеевич Высоцкий,,
,Николаев Андриян Григорьевич ,nonetype,Андриян Григорьевич Николаев,,
,Кĕçнерникун ,nonetype,Четверг,,
,Кĕçнерникун ,noun masculine,четверг,,
,ниагара ,nonetype,ниагарский водопад,,
,алансем ,noun,аланы,,
,каир ,nonetype,каир,,
,канада ,nonetype,канада,,
,канада ,proper feminine,Канада,,
,гафни ,noun masculine,гафний,,
,гафни ,noun masculine,гафний,,
,Кесов Сăрчĕ ,nonetype,Кесова Гора,,
,танк ,noun masculine,танк,,
,танк ,nonetype,Танк,,
,танк ,noun masculine,танк,,
,кăш ,noun masculine,соболь,,
,тагаль чĕлхи ,nonetype,тагальский язык,,
,Ытларикун ,nonetype,Вторник,,
,Ытларикун ,noun masculine,вторник,,
,Хусан вокзалĕ ,nonetype,Казанский вокзал,,
,Чăваш Енĕн Вăрнар районĕ ,nonetype,Вурнарский район Чувашии,,
,гана ,nonetype,гана,,
,гана ,proper feminine,Гана,,
,Мозамбик ,proper masculine,Мозамбик,,
,Мозамбик ,nonetype,мозамбик,,
,бухарест ,nonetype,бухарест,,
,бухарест ,proper masculine,Бухарест,,
,удмурт чĕлхи ,nonetype,удмуртский язык,,
,пӳскеллĕ хоккей ,noun masculine,хоккей с мячом,,
,пӳскеллĕ хоккей ,nonetype,хоккей с мячом,,
,чĕрĕлӳ ,noun neuter,возрождение,,
,орфоэпи ,noun,орфоэпия,,
,орфоэпи ,nonetype,Орфоэпия,,
,банк ,noun masculine,банк,,
,банк ,noun masculine,банк,,
,кил йăви ,noun feminine,усадьба,,
,кил йăви ,nonetype,усадебный дом,,
,Кĕлĕ ,nonetype,Молитва,,
,Кĕлĕ ,noun feminine,молитва,,
,Кĕлĕ ,noun feminine,молитва,,
,Кĕлĕ ,adjective,молитвенный,,
,Изюм ,noun,Изюм,,
,Эсперанто ,noun,Эсперанто,,
,Эсперанто ,proper neuter,эсперанто,,
,кӗсмен ,noun neuter,весло,,
,халаплăх ,noun feminine,мифология,,
,халаплăх ,noun feminine,мифология,,
,çĕвĕç ,noun masculine,портной,,
,çĕвĕç ,noun masculine,портной,,
,йăртта ,noun feminine,сперма,,
,Бельги ,proper, noun feminine,Бельгия,,
,Бельги ,nonetype,бельгия,,
,Тихонов Виктор Васильевич ,nonetype,Виктор Васильевич Тихонов,,
,Ливан ,proper masculine,Ливан,,
,Ливан ,nonetype,ливан,,
,коперници ,noun masculine,коперниций,,
,коперници ,noun,коперниций,,
,тбилиси ,nonetype,тбилиси,,
,тбилиси ,proper, noun masculine,Тбилиси,,
,тбилиси ,proper masculine,Тифлис,,
,инди-европа чĕлхисем ,nonetype,индоевропейские языки,,
,Буйнакск ,nonetype,Буйнакск,,
,эпӗ ,u043cu0435u0441u0442u043eu0438u043cu0435u043du0438u0435,я,,
,эпӗ ,noun,аз,,
,вĕçме ,verb,летать,,
,вĕçме ,verb,лететь,,
,Раççей Патшалăхě or Раҫҫей Патшалӑхӗ ,proper feminine,Россия,,
,рейн ,nonetype,рейн,,
,рейн ,proper masculine,Рейн,,
,йӳçлĕк ,noun masculine,кислород,,
,йӳçлĕк ,noun,кислород,,
,ном ,nonetype,ном,,
,чие çырли ,noun feminine,вишня,,
,пурӑш ,noun masculine,барсук,,
,галогенсем ,noun,галогены,,
,тӑхӑр ,numeral,девять,,
,йывӑҫ ,noun neuter,дерево,,
,йывӑҫ ,noun neuter,древо,,
,йăла-йĕрке ,noun feminine,традиция,,
,йăла-йĕрке ,nonetype,Традиция,,
,йăла-йĕрке ,noun,традиция,,
,гороскоп ,noun masculine,гороскоп,,
,гороскоп ,nonetype,Гороскоп,,
,Марсель ,proper masculine,Марсель,,
,Марсель ,noun,марсель,,
,Ярославль облаçĕ ,nonetype,Ярославская область,,
,Инди океанĕ ,proper masculine,Индийский океан,,
,Инди океанĕ ,nonetype,Индийскй океан,,
,Инди океанĕ ,nonetype,индийский океан,,
,виç кĕтеслĕх ,noun masculine,треугольник,,
,виç кĕтеслĕх ,noun masculine,треугольник,,
,Кяхта ,nonetype,Кяхта,,
,дециметр ,noun masculine,дециметр,,
,дециметр ,noun,дециметр,,
,Çу ,proper masculine,май,,
,Çу ,nonetype,Май,,
,Çу ,noun masculine,жир,,
,Çу ,noun neuter,лето,,
,Çу ,adjective,жировой,,
,Çу ,adjective,летний,,
,Çу ,noun neuter,масло,,
,Çу ,adjective,масляный,,
,Çу ,verb,мыть,,
,Çу ,noun neuter,сало,,
,Çу ,nonetype,сальный,,
,Çу ,noun,сливочное масло,,
,Çу ,verb,стирать,,
,шывай кимми ,noun feminine,подводная лодка,,
,шывай кимми ,nonetype,Подводная лодка,,
,шывай кимми ,noun feminine,подводная лодка,,
,Котовск ,nonetype,Котовск,,
,боец ,noun,боец,,
,Çармăс чĕлхи ,nonetype,марийский язык,,
,уппсала ,nonetype,уппсала,,
,Куба ,proper feminine,Куба,,
,Куба ,noun,куба,,
,Чоп ,nonetype,Чоп,,
,пахам утравĕсем ,nonetype,багамские острова,,
,2002 çулхи Раççěй халăх переписě ,nonetype,Всероссийская перепись населения 2002 года,,
,Вир ,nonetype,Просо,,
,Вир ,noun neuter,просо,,
,Вир ,nonetype,просяной,,
,мексика кӳлмекĕ ,nonetype,мексиканский залив,,
,мексика кӳлмекĕ ,proper masculine,Мексиканский залив,,
,çĕнĕ халал ,nonetype,новый завет,,
,тăнай шывĕ ,nonetype,дунай,,
,венгри ,nonetype,венгрия,,
,венгри ,proper, noun feminine,Венгрия,,
,патшалăх пуçлăхĕ ,nonetype,глава государства,,
,патшалăх пуçлăхĕ ,nonetype,глава государства,,
,Хĕвел ,proper neuter,Солнце,,
,Хĕвел ,noun neuter,солнце,,
,Хĕвел ,adjective,солнечный,,
,Турин ,proper masculine,Турин,,
,Турин ,nonetype,турин,,
,çут тĕнче ,noun feminine,вселенная,,
,çут тĕнче ,noun feminine,Вселенная,,
,çут тĕнче ,nonetype,всесвет,,
,Нальчик ,proper masculine,Нальчик,,
,кăшлакансем ,noun,грызуны,,
,латин чĕлхи ,proper masculine,латинский язык,,
,Батавсем ,nonetype,Батавы,,
,мечӗк ,noun masculine,мяч,,
,Керала ,proper feminine,Керала,,
,Курск облаçĕ ,nonetype,Курская область,,
,янрав ,noun feminine,реклама,,
,янрав ,noun,реклама,,
,тоскана ,nonetype,тоскана,,
,Çĕрпӳ ,nonetype,Цивильск,,
,хисеп ячĕ ,noun neuter,имя числительное,,
,хисеп ячĕ ,noun,имя числительное,,
,Удине ,nonetype,Удине,,
,вĕрентекен кунĕ ,nonetype,день учителя,,
,дефис ,noun masculine,дефис,,
,дефис ,noun,дефис,,
,качака ,noun feminine,коза,,
,качака ,nonetype,коза домашняя,,
,качака ,adjective,козий,,
,качака ,nonetype,коза домашняя,,
,хан ,noun masculine,хан,,
,хан ,nonetype,Хан,,
,Мальта ,proper feminine,Мальта,,
,Мальта ,nonetype,мальта,,
,Дежнёв Семён Иванович ,nonetype,Семён Иванович Дежнёв,,
,Пекин ,noun masculine,Пекин,,
,Пекин ,masculine,Бэйцзин,,
,Пекин ,nonetype,пекин,,
,хĕрлĕ тинĕс ,nonetype,красное море,,
,хĕрлĕ тинĕс ,proper neuter,Красное море,,
,гавана ,nonetype,гавана,,
,гавана ,proper feminine,Гавана,,
,Багратионовск ,nonetype,Багратионовск,,
,хĕвел тухăç европа ,nonetype,восточная европа,,
,бразили ,noun,бразилия,,
,бразили ,proper feminine,Бразилия,,
,квантăллă механика ,noun feminine,квантовая механика,,
,квантăллă механика ,noun,квантовая механика,,
,Сухуми ,proper masculine,Сухуми,,
,рубиди ,noun masculine,рубидий,,
,рубиди ,noun masculine,рубидий,,
,Рось ,nonetype,Рось,,
,Бухарест ,proper masculine,Бухарест,,
,Бухарест ,nonetype,бухарест,,
,Фурманов Дмитрий Андреевич ,nonetype,Дмитрий Андреевич Фурманов,,
,каспи тинĕсĕ ,nonetype,каспийское море,,
,Уйӑп ,nonetype,Снегирь,,
,Новгород ,proper masculine,Великий Новгород,,
,Микронезин Федеративлă Штачĕсем ,proper feminine,Микронезия,,
,ах ,nonetype,аи,,
,ах ,nonetype,межд. ах,,
,ах ,interjection,ой,,
,ах ,interjection,ох,,
,кăшкăр ,verb,кричать,,
,кĕвĕллĕ ,adjective,благозвучный,,
,кĕвĕллĕ ,adjective,мелодичный,,
,кĕвĕллĕ ,nonetype,напевный,,
,кĕл ,noun feminine,зола,,
,кĕл ,noun masculine,пепел,,
,кирпĕч ,noun masculine,кирпич,,
,кирпĕч ,adjective,кирпичный,,
,кирпĕч ,noun masculine,кирпич,,
,куккăшĕ ,pronoun,его,,
,кулач ,nonetype,белый хлеб,,
,кулач ,noun,калач,,
,кунтанпа ,adverb,с этих пор,,
,кунтанпа ,nonetype,с этого времени,,
,мăка ,adjective,тупой,,
,мăртăх ,nonetype,дуться,,
,мăртăх ,nonetype,ломким,,
,мăртăх ,verb,сердиться,,
,мăртăх ,nonetype,становиться хрупким,,
,минтер ,noun feminine,подушка,,
,нăрăлтат ,verb,гудеть,,
,нăрăлтат ,verb,жужжать,,
,ниçта ,adverb,нигде,,
,ниçта ,adverb,никуда,,
,планла ,verb,планировать,,
,пурак ,nonetype,берестянка,,
,пурак ,noun,короб,,
,пурак ,nonetype,кузовок,,
,пÿре ,noun,почка,,
,пÿре ,noun,почки,,
,сайра ,adjective,редкий,,
,сайра ,adjective adverb,редко,,
,сăхлан ,nonetype,жадничать,,
,сăхлан ,nonetype,зариться на что-л.,,
,сутлăх ,nonetype,предназначенный для продажи,,
,сутлăх ,adjective,продажный,,
,сывлăх ,noun neuter,здоровье,,
,сывлăх ,noun,здоровье,,
,çавăтса кĕрт ,verb,ввести,,
,çапăç ,verb,биться,,
,çапăç ,verb,воевать,,
,çапăç ,verb,драться,,
,çапăç ,verb,сражаться,,
,çарамаслантар ,verb,раздевать,,
,çарамаслантар ,nonetype,снимать верхнюю одежду,,
,çатма ,noun feminine,сковорода,,
,çатма ,nonetype,плошка,,
,çатма ,nonetype,Сковорода,,
,çăка ,noun feminine,липа,,
,çăка ,adjective,липовый,,
,çил ,noun masculine,ветер,,
,çил ,adjective,ветровой,,
,çил ,noun masculine,ветер,,
,ăш çу ,noun neuter,сало,,
,çулталăк ,noun masculine,год,,
,çулталăк ,adjective,годичный,,
,çулталăк ,adjective,годовой,,
,çура ,nonetype,детеныш,,
,çÿллĕш ,noun,высота,,
,такам ,pronoun,всякий,,
,такам ,adjective,каждый,,
,такам ,pronoun,кто-то,,
,такам ,pronoun,некто,,
,тем ,nonetype,неизвестно какой,,
,тем ,nonetype,неизвестно что,,
,тума пусла ,nonetype,начать делать,,
,тунката ,noun masculine,пень,,
,тунката ,noun feminine,колода,,
,тунката ,noun,чурбан,,
,ÿркентер ,nonetype,вызывать лень,,
,ÿркентер ,noun,вялость,,
,кăнтăр ,noun masculine,юг,,
,кăнтăр ,adjective,южный,,
,кăнтăр ,noun masculine,полдень,,
,кăнтăр ,nonetype,полдневный,,
,кăнтăр ,noun masculine,юг,,
,кăркка ами ,noun,индейка,,
,кĕсье ,noun masculine,карман,,
,кĕсье ,adjective,карманный,,
,кукаçу ,nonetype,твой дедушка,,
,кунĕ-кунĕпе ,nonetype,целыми днями,,
,лайăхлат ,verb,совершенствовать,,
,лайăхлат ,verb,улучшать,,
,мĕне кура ,nonetype,чего ради,,
,михĕ ,noun masculine,мешок,,
,нимĕнле ,pronoun,никакой,,
,официаллă ,adjective,официальный,,
,паттăрлăх ,noun,доблесть,,
,паттăрлăх ,noun,отвага,,
,паттăрлăх ,noun,храбрость,,
,шăлсăрлан ,nonetype,становиться беззубым,,
,ыраш ,noun feminine,рожь,,
,ыраш ,adjective,ржаной,,
,ытти ,nonetype,другой,,
,ытти ,adjective,остальной,,
,ытти ,adjective,прочий,,
,яш ,adjective,молодой,,
,Сири ,noun feminine,Сирия,,
,Сири ,nonetype,сирия,,
,кăвар ,nonetype,горящие угли,,
,кăвар ,noun,жар,,
,килсе кай ,verb,навестить,,
,килсе кай ,verb,приходить,,
,хутлам ,noun feminine,сборка,,
,хутлам ,noun,складка,,
,кирек ,nonetype,любой,,
,кирек ,nonetype,хоть какой,,
,хÿре ,noun masculine,хвост,,
,хÿре ,adjective,хвостовой,,
,кукамăшĕ ,pronoun,его,,
,чаплă çĕнтерÿ ,nonetype,выдающаяся победа,,
,куçа-куçăн ,adposition,лицом к лицу,,
